rank,student_id,score,s_score,proportion,grade
1 = 25,312801971,99,800,99.99,A
1 = 25,312800112,98,800,99.98,A
1 = 25,313101681,98,800,99.98,A
1 = 25,312503077,98,800,99.98,A
1 = 25,312500424,97,800,99.97,A
1 = 25,313101145,97,800,99.97,A
1 = 25,312401124,97,800,99.97,A
1 = 25,312401000,96,800,99.95,A
1 = 25,312801806,96,800,99.95,A
1 = 25,313000027,96,800,99.95,A
1 = 25,312900297,95,800,99.92,A
1 = 25,312401663,95,800,99.92,A
1 = 25,312400579,95,800,99.92,A
1 = 25,313102162,95,800,99.92,A
1 = 25,312503071,95,800,99.92,A
1 = 25,312501466,94,800,99.87,A
1 = 25,312500193,94,800,99.87,A
1 = 25,310900846,94,800,99.87,A
1 = 25,312400488,94,800,99.87,A
1 = 25,312900124,94,800,99.87,A
1 = 25,313000895,94,800,99.87,A
1 = 25,312800414,94,800,99.87,A
1 = 25,312800141,94,800,99.87,A
1 = 25,312801682,94,800,99.87,A
1 = 25,312802245,94,800,99.87,A
26 = 39,312802009,93,787,99.79,A
26 = 39,312800420,93,787,99.79,A
26 = 39,312800279,93,787,99.79,A
26 = 39,312800187,93,787,99.79,A
26 = 39,313000550,93,787,99.79,A
26 = 39,312900459,93,787,99.79,A
26 = 39,312901472,93,787,99.79,A
26 = 39,312900599,93,787,99.79,A
26 = 39,312900765,93,787,99.79,A
26 = 39,313101067,93,787,99.79,A
26 = 39,312501744,93,787,99.79,A
26 = 39,312501875,93,787,99.79,A
26 = 39,312503513,93,787,99.79,A
26 = 39,312502633,93,787,99.79,A
40 = 62,312502479,92,774,99.69,A
40 = 62,312501710,92,774,99.69,A
40 = 62,312500108,92,774,99.69,A
40 = 62,312502972,92,774,99.69,A
40 = 62,312502920,92,774,99.69,A
40 = 62,312500304,92,774,99.69,A
40 = 62,312501266,92,774,99.69,A
40 = 62,312500464,92,774,99.69,A
40 = 62,313103855,92,774,99.69,A
40 = 62,312900209,92,774,99.69,A
40 = 62,312900446,92,774,99.69,A
40 = 62,312900463,92,774,99.69,A
40 = 62,312900514,92,774,99.69,A
40 = 62,313000274,92,774,99.69,A
40 = 62,313000080,92,774,99.69,A
40 = 62,312600006,92,774,99.69,A
40 = 62,312800177,92,774,99.69,A
40 = 62,312800348,92,774,99.69,A
40 = 62,312800870,92,774,99.69,A
40 = 62,312800265,92,774,99.69,A
40 = 62,312802342,92,774,99.69,A
40 = 62,312800741,92,774,99.69,A
40 = 62,312800748,92,774,99.69,A
63 = 87,312800144,91,761,99.54,A
63 = 87,312801388,91,761,99.54,A
63 = 87,312801930,91,761,99.54,A
63 = 87,312800957,91,761,99.54,A
63 = 87,313000079,91,761,99.54,A
63 = 87,312900221,91,761,99.54,A
63 = 87,312901640,91,761,99.54,A
63 = 87,312900077,91,761,99.54,A
63 = 87,313105230,91,761,99.54,A
63 = 87,312400219,91,761,99.54,A
