rank,student_id,score,s_score,proportion,grade
1 = 18,312501580,100,800,99.97,A
1 = 18,312801950,100,800,99.97,A
1 = 18,312801560,100,800,99.97,A
1 = 18,312800177,100,800,99.97,A
1 = 18,313000103,100,800,99.97,A
1 = 18,312800317,99,800,99.94,A
1 = 18,312500509,99,800,99.94,A
1 = 18,312502592,98,800,99.91,A
1 = 18,312500967,98,800,99.91,A
1 = 18,312501572,98,800,99.91,A
1 = 18,312502708,98,800,99.91,A
1 = 18,312801943,98,800,99.91,A
1 = 18,312801058,98,800,99.91,A
1 = 18,312701008,98,800,99.91,A
1 = 18,312800705,97,800,99.87,A
1 = 18,312801025,97,800,99.87,A
1 = 18,312501576,97,800,99.87,A
1 = 18,312501075,97,800,99.87,A
19 = 21,312502870,96,795,99.84,A
19 = 21,312800955,96,795,99.84,A
19 = 21,312900498,96,795,99.84,A
22 = 26,312800879,95,787,99.79,A
22 = 26,312800401,95,787,99.79,A
22 = 26,312801583,95,787,99.79,A
22 = 26,312502959,95,787,99.79,A
22 = 26,312503273,95,787,99.79,A
27 = 30,312503156,94,780,99.74,A
27 = 30,312800262,94,780,99.74,A
27 = 30,312801442,94,780,99.74,A
27 = 30,312401437,94,780,99.74,A
31 = 40,312801485,93,773,99.68,A
31 = 40,312801935,93,773,99.68,A
31 = 40,312801659,93,773,99.68,A
31 = 40,312800184,93,773,99.68,A
31 = 40,312800159,93,773,99.68,A
31 = 40,312502707,93,773,99.68,A
31 = 40,312501801,93,773,99.68,A
31 = 40,312503478,93,773,99.68,A
31 = 40,312502403,93,773,99.68,A
31 = 40,312900514,93,773,99.68,A
41 = 48,312502479,92,765,99.6,A
41 = 48,312401297,92,765,99.6,A
41 = 48,312501622,92,765,99.6,A
41 = 48,312502710,92,765,99.6,A
41 = 48,312501555,92,765,99.6,A
41 = 48,312800828,92,765,99.6,A
41 = 48,312801858,92,765,99.6,A
41 = 48,312401191,92,765,99.6,A
49 = 54,312400809,91,760,99.53,A
49 = 54,312800526,91,760,99.53,A
49 = 54,312800466,91,760,99.53,A
49 = 54,312801068,91,760,99.53,A
49 = 54,312801194,91,760,99.53,A
49 = 54,312800164,91,760,99.53,A
55 = 61,312801351,90,754,99.46,A
55 = 61,312801593,90,754,99.46,A
55 = 61,312800259,90,754,99.46,A
55 = 61,312503175,90,754,99.46,A
55 = 61,312501317,90,754,99.46,A
55 = 61,312503756,90,754,99.46,A
55 = 61,313000076,90,754,99.46,A
62 = 66,312503099,89,750,99.39,A
62 = 66,312503272,89,750,99.39,A
62 = 66,312800388,89,750,99.39,A
62 = 66,312400928,89,750,99.39,A
62 = 66,312401611,89,750,99.39,A
67 = 73,312400488,88,747,99.32,A-
67 = 73,312800190,88,747,99.32,A-
67 = 73,312800957,88,747,99.32,A-
67 = 73,312801067,88,747,99.32,A-
67 = 73,312502410,88,747,99.32,A-
67 = 73,312901227,88,747,99.32,A-
67 = 73,312700167,88,747,99.32,A-
74 = 85,312701090,87,742,99.22,A-
74 = 85,312701096,87,742,99.22,A-
74 = 85,312702011,87,742,99.22,A-
74 = 85,312900243,87,742,99.22,A-
74 = 85,313000158,87,742,99.22,A-
74 = 85,312503810,87,742,99.22,A-
74 = 85,312501454,87,742,99.22,A-
74 = 85,312801559,87,742,99.22,A-
74 = 85,312800971,87,742,99.22,A-
74 = 85,312800297,87,742,99.22,A-
74 = 85,312401372,87,742,99.22,A-
