rank,student_id,score,s_score,proportion,grade
1 = 4,312402373,99,800,99.98,A
1 = 4,312500446,97,800,99.93,A
1 = 4,313000050,97,800,99.93,A
1 = 4,313001046,97,800,99.93,A
5 = 10,312801935,95,795,99.84,A
5 = 10,312801501,95,795,99.84,A
5 = 10,312800197,95,795,99.84,A
5 = 10,312500968,95,795,99.84,A
5 = 10,312401755,95,795,99.84,A
5 = 10,312700954,95,795,99.84,A
11 = 14,312501079,94,780,99.74,A
11 = 14,312501319,94,780,99.74,A
11 = 14,312800018,94,780,99.74,A
11 = 14,313000284,94,780,99.74,A
15 = 24,313000223,93,768,99.63,A
15 = 24,313000643,93,768,99.63,A
15 = 24,312801665,93,768,99.63,A
15 = 24,312801695,93,768,99.63,A
15 = 24,312801155,93,768,99.63,A
15 = 24,312800792,93,768,99.63,A
15 = 24,312501708,93,768,99.63,A
15 = 24,312503519,93,768,99.63,A
15 = 24,312701437,93,768,99.63,A
15 = 24,312401869,93,768,99.63,A
25 = 31,312401495,92,758,99.51,A
25 = 31,312701022,92,758,99.51,A
25 = 31,312501857,92,758,99.51,A
25 = 31,312501924,92,758,99.51,A
25 = 31,312500981,92,758,99.51,A
25 = 31,312600254,92,758,99.51,A
25 = 31,312600263,92,758,99.51,A
32,313001039,91,750,99.38,A
33 = 48,313000994,91,749,99.35,A-
33 = 48,312901627,91,749,99.35,A-
33 = 48,312800949,91,749,99.35,A-
33 = 48,312800053,91,749,99.35,A-
33 = 48,312800097,91,749,99.35,A-
33 = 48,312800187,91,749,99.35,A-
33 = 48,312500995,91,749,99.35,A-
33 = 48,312500047,91,749,99.35,A-
33 = 48,312500654,91,749,99.35,A-
33 = 48,312502592,91,749,99.35,A-
33 = 48,312503452,91,749,99.35,A-
33 = 48,312701020,91,749,99.35,A-
33 = 48,312700319,91,749,99.35,A-
33 = 48,312701308,91,749,99.35,A-
33 = 48,312400724,91,749,99.35,A-
33 = 48,312400341,91,749,99.35,A-
49 = 59,312401446,90,740,99.18,A-
49 = 59,312701023,90,740,99.18,A-
49 = 59,312503516,90,740,99.18,A-
49 = 59,312501404,90,740,99.18,A-
49 = 59,312501465,90,740,99.18,A-
49 = 59,312501518,90,740,99.18,A-
49 = 59,312500517,90,740,99.18,A-
49 = 59,312800169,90,740,99.18,A-
49 = 59,312802206,90,740,99.18,A-
49 = 59,312800697,90,740,99.18,A-
49 = 59,312900736,90,740,99.18,A-
60 = 67,312802172,89,734,99.04,A-
60 = 67,312800785,89,734,99.04,A-
60 = 67,312802088,89,734,99.04,A-
60 = 67,313102498,89,734,99.04,A-
60 = 67,313101646,89,734,99.04,A-
60 = 67,312701037,89,734,99.04,A-
60 = 67,312402248,89,734,99.04,A-
60 = 67,312401418,89,734,99.04,A-
68 = 84,312402224,88,729,98.9,A-
68 = 84,312400683,88,729,98.9,A-
68 = 84,312701821,88,729,98.9,A-
68 = 84,312701270,88,729,98.9,A-
68 = 84,312502643,88,729,98.9,A-
68 = 84,312500228,88,729,98.9,A-
68 = 84,312501478,88,729,98.9,A-
68 = 84,312501402,88,729,98.9,A-
68 = 84,312501578,88,729,98.9,A-
68 = 84,312502967,88,729,98.9,A-
68 = 84,312503139,88,729,98.9,A-
68 = 84,313102858,88,729,98.9,A-
68 = 84,312300018,88,729,98.9,A-
68 = 84,312801663,88,729,98.9,A-
68 = 84,312800162,88,729,98.9,A-
68 = 84,313000463,88,729,98.9,A-
68 = 84,313000163,88,729,98.9,A-
85 = 97,313001081,87,723,98.71,A-
85 = 97,313000846,87,723,98.71,A-
85 = 97,312900554,87,723,98.71,A-
85 = 97,312800226,87,723,98.71,A-
85 = 97,312801204,87,723,98.71,A-
85 = 97,312800462,87,723,98.71,A-
85 = 97,312800620,87,723,98.71,A-
85 = 97,312501386,87,723,98.71,A-
85 = 97,312501964,87,723,98.71,A-
85 = 97,312700005,87,723,98.71,A-
85 = 97,312700022,87,723,98.71,A-
85 = 97,312400851,87,723,98.71,A-
85 = 97,312401014,87,723,98.71,A-
98 = 115,312401372,86,717,98.49,A-
98 = 115,312701338,86,717,98.49,A-
98 = 115,312700948,86,717,98.49,A-
98 = 115,312700826,86,717,98.49,A-
98 = 115,312501897,86,717,98.49,A-
98 = 115,312500097,86,717,98.49,A-
98 = 115,312501565,86,717,98.49,A-
98 = 115,312502385,86,717,98.49,A-
98 = 115,312800518,86,717,98.49,A-
98 = 115,312800522,86,717,98.49,A-
98 = 115,312802116,86,717,98.49,A-
98 = 115,312801970,86,717,98.49,A-
98 = 115,312800289,86,717,98.49,A-
98 = 115,312900448,86,717,98.49,A-
98 = 115,312900243,86,717,98.49,A-
98 = 115,313000102,86,717,98.49,A-
98 = 115,313000162,86,717,98.49,A-
98 = 115,313000120,86,717,98.49,A-
116 = 130,313000159,85,711,98.25,A-
116 = 130,313000254,85,711,98.25,A-
116 = 130,312900753,85,711,98.25,A-
116 = 130,312800029,85,711,98.25,A-
116 = 130,312800457,85,711,98.25,A-
116 = 130,312800622,85,711,98.25,A-
116 = 130,312502446,85,711,98.25,A-
116 = 130,312500056,85,711,98.25,A-
116 = 130,312500486,85,711,98.25,A-
116 = 130,312501039,85,711,98.25,A-
116 = 130,312500938,85,711,98.25,A-
116 = 130,312501479,85,711,98.25,A-
116 = 130,312700669,85,711,98.25,A-
116 = 130,312700383,85,711,98.25,A-
116 = 130,312400700,85,711,98.25,A-
131 = 144,312401864,84,706,98.02,A-
131 = 144,312401667,84,706,98.02,A-
131 = 144,312701110,84,706,98.02,A-
131 = 144,312701324,84,706,98.02,A-
131 = 144,312701824,84,706,98.02,A-
131 = 144,312503111,84,706,98.02,A-
131 = 144,312503151,84,706,98.02,A-
131 = 144,312503041,84,706,98.02,A-
131 = 144,312501167,84,706,98.02,A-
131 = 144,312800881,84,706,98.02,A-
131 = 144,313000820,84,706,98.02,A-
131 = 144,313001021,84,706,98.02,A-
131 = 144,313000001,84,706,98.02,A-
131 = 144,313000090,84,706,98.02,A-
145 = 163,313000285,83,700,97.79,A-
145 = 163,312900807,83,700,97.79,A-
145 = 163,312900297,83,700,97.79,A-
145 = 163,312900462,83,700,97.79,A-
145 = 163,312900166,83,700,97.79,A-
145 = 163,312800870,83,700,97.79,A-
145 = 163,312800824,83,700,97.79,A-
145 = 163,312802368,83,700,97.79,A-
145 = 163,312802183,83,700,97.79,A-
145 = 163,313103529,83,700,97.79,A-
145 = 163,312501265,83,700,97.79,A-
145 = 163,312500366,83,700,97.79,A-
145 = 163,312701865,83,700,97.79,A-
145 = 163,312701111,83,700,97.79,A-
145 = 163,312700093,83,700,97.79,A-
145 = 163,312402125,83,700,97.79,A-
145 = 163,312401415,83,700,97.79,A-
145 = 163,312400921,83,700,97.79,A-
145 = 163,312400855,83,700,97.79,A-
164 = 186,312402166,82,696,97.52,B
164 = 186,312401912,82,696,97.52,B
164 = 186,312700957,82,696,97.52,B
164 = 186,312502171,82,696,97.52,B
164 = 186,312501637,82,696,97.52,B
164 = 186,312500043,82,696,97.52,B
164 = 186,312500674,82,696,97.52,B
164 = 186,312600199,82,696,97.52,B
164 = 186,312600257,82,696,97.52,B
164 = 186,312802106,82,696,97.52,B
164 = 186,312800438,82,696,97.52,B
164 = 186,312802226,82,696,97.52,B
164 = 186,312800763,82,696,97.52,B
164 = 186,312800780,82,696,97.52,B
164 = 186,312800927,82,696,97.52,B
164 = 186,312801980,82,696,97.52,B
164 = 186,312801170,82,696,97.52,B
164 = 186,312800131,82,696,97.52,B
164 = 186,312900444,82,696,97.52,B
164 = 186,313000144,82,696,97.52,B
164 = 186,313000456,82,696,97.52,B
164 = 186,313001330,82,696,97.52,B
164 = 186,313000410,82,696,97.52,B
187 = 206,313000390,81,691,97.19,B
187 = 206,313000113,81,691,97.19,B
187 = 206,312901023,81,691,97.19,B
187 = 206,312801624,81,691,97.19,B
187 = 206,312801286,81,691,97.19,B
187 = 206,312801940,81,691,97.19,B
187 = 206,313100384,81,691,97.19,B
187 = 206,312502395,81,691,97.19,B
187 = 206,312500248,81,691,97.19,B
187 = 206,312500942,81,691,97.19,B
187 = 206,312503000,81,691,97.19,B
187 = 206,312502089,81,691,97.19,B
187 = 206,312701027,81,691,97.19,B
187 = 206,312400691,81,691,97.19,B
187 = 206,312401447,81,691,97.19,B
187 = 206,312401679,81,691,97.19,B
187 = 206,312400709,81,691,97.19,B
187 = 206,312401020,81,691,97.19,B
187 = 206,312402030,81,691,97.19,B
187 = 206,312401170,81,691,97.19,B
207 = 234,312401176,80,686,96.87,B
207 = 234,312401427,80,686,96.87,B
207 = 234,312401486,80,686,96.87,B
207 = 234,312402083,80,686,96.87,B
207 = 234,312400360,80,686,96.87,B
207 = 234,312701105,80,686,96.87,B
207 = 234,312700899,80,686,96.87,B
207 = 234,312701709,80,686,96.87,B
207 = 234,312701863,80,686,96.87,B
207 = 234,312700529,80,686,96.87,B
207 = 234,312501965,80,686,96.87,B
207 = 234,312503395,80,686,96.87,B
207 = 234,312503163,80,686,96.87,B
207 = 234,312503122,80,686,96.87,B
207 = 234,312501698,80,686,96.87,B
207 = 234,312501512,80,686,96.87,B
207 = 234,312501072,80,686,96.87,B
207 = 234,312500402,80,686,96.87,B
207 = 234,312500281,80,686,96.87,B
207 = 234,312500343,80,686,96.87,B
207 = 234,312500022,80,686,96.87,B
207 = 234,312500240,80,686,96.87,B
207 = 234,312502405,80,686,96.87,B
207 = 234,312801946,80,686,96.87,B
207 = 234,312800126,80,686,96.87,B
207 = 234,312800713,80,686,96.87,B
207 = 234,313000283,80,686,96.87,B
207 = 234,313000730,80,686,96.87,B
235 = 261,313001041,79,681,96.51,B
235 = 261,313000619,79,681,96.51,B
235 = 261,313000884,79,681,96.51,B
235 = 261,313000339,79,681,96.51,B
235 = 261,313001324,79,681,96.51,B
235 = 261,313001340,79,681,96.51,B
235 = 261,312900457,79,681,96.51,B
235 = 261,312901356,79,681,96.51,B
235 = 261,312801916,79,681,96.51,B
235 = 261,312800112,79,681,96.51,B
235 = 261,312801486,79,681,96.51,B
